gene_id	phastCons_mean
WASH7P	0.112791472351765
MIR6859-1	0.0478260869565217
MIR6859-2	0.0478260869565217
MIR6859-3	0.0478260869565217
MIR6859-4	0.0478260869565217
MIR1302-2	0.143884892086331
MIR1302-9	0.143884892086331
MIR1302-10	0.143884892086331
MIR1302-11	0.143884892086331
FAM138A	0.052241847826087
FAM138F	0.052241847826087
FAM138C	0.052241847826087
LOC729737	NA
UTY	NA
MIR6859-1	0.0550724637681159
MIR6859-2	0.0550724637681159
MIR6859-3	0.0550724637681159
MIR6859-4	0.0550724637681159
FAM138D	0.0648299319727891
LOC100132287	0.0311234278405457
LOC100132062	0.0311234278405457
LOC101928626	0.027161250766401
TESPA1	0.07516810192285
TFB1M	NA
RPS27L	0.101256771397617
FAM87B	0.0586612576064909
LINC00115	0.0525037936267071
SNAP91	NA
SNAP91	NA
FAM41C	NA
LINC02593	0.0888038942976356
LINC02593	0.0888038942976356
UBXN2B	0.1508146081411
TMEM68	0.0853961468472891
BCAP29	NA
PDZK1	0.0539563006733544
KIAA1217	NA
NFAM1	0.0412504567571206
HSCB	0.0778230237218021
HSCB	0.0778230237218021
C7orf50	NA
XKR3	0.151234164816508
PRDM1	0.417163799677994
CRHR1	0.0660337798485729
ATF6B	0.17357516943931
LOC100288175	0.0824133313495016
GRAMD2B	0.0590043552410885
CCDC169	0.0941803408431383
LINC01342	0.0106123028839324
UQCC3	0.0851116625310173
ZBED1	0.137626349446469
ABCC5	0.117722307299644
ENDOD1	0.0824443354127239
PLEKHA6	0.106639589446974
TMCO3	NA
SRPK2	NA
SLC25A1	0.328879015721121
POMT2	0.100934050382111
ERO1A	0.11539221852817
IQCF4P	0.0513550135501355
IQCF4P	0.0698131760078662
FABP3	0.0968520592260794
MIR6726	0.0483870967741935
SNORD167	0.265882352941177
PUSL1	0.099838657631494
ANKS1B	NA
ANKS1B	NA
KYNU	0.0824924601656543
NGRN	0.0915762115884421
CNPY1	0.0683081810961079
BICDL2	0.121384047831065
GTDC1	0.174337830039555
C6orf52	NA
MIR6727	0.0606060606060606
FAAP20	0.0953190249587259
RIMBP2	NA
MIR6808	0.0583333333333333
CADM1	NA
RNF167	0.275136399064692
RNF167	0.274011299435028
GALNS	0.0503413166724517
RBMY1A1	0.205176828846287
METTL21A	NA
CIITA	0.0637997736218808
ZSCAN9	0.0699866065992938
ZKSCAN8	0.107196086239263
PSME1	0.358844765342961
LSM14A	0.127540417738016
MRPL20-AS1	0.0126290706910246
SLC30A3	0.146939623338257
P3H2	0.0636854255623722
MACO1	0.142242324561404
LINC01770	0.0384789497510186
LINC01770	0.0384789497510186
LINC01770	0.0384789497510186
CACNA2D1	NA
CACNA1G	0.23305221846071
IL15RA	0.0463513827562166
COLEC11	NA
COLEC11	NA
RXRB	0.318590196355417
TUBA1A	0.45954535422644
C9orf147	0.131820464182102
LOC105378586	0.0332562025967347
TMEM200B	0.269168900804289
HMGXB4	0.128465915022444
LEPR	NA
OR11G2	0.179499518768046
PDIK1L	0.307005024393796
PDIK1L	0.305971498088286
FAM122B	NA
